eng,fi,questionnaire,invert
How long have you been singing as a hobby?,Kuinka kauan olet harrastanut laulamista?,music_background,
How often did you sing when you were most active with the hobby?,Kuinka usein lauloit harrastuksen aktiivisimmassa vaiheessa?,music_background,
How often do you sing nowadays?,Kuinka usein laulat nykyään?,music_background,
How many years of tuition have you received for singing (outside primary/lower secondary school)?,Kuinka monta vuotta olet saanut opetusta laulamiseen (peruskoulun ulkopuolella)?,music_background,
How long have you been playing a musical instrument as a hobby?,Kuinka kauan olet harrastanut musiikki-instrumentin soittamista?,music_background,
How often did you play when you were most active with the hobby?,Kuinka usein soitit harrastuksen aktiivisimmassa vaiheessa?,music_background,
How often do you play nowadays?,Kuinka usein soitat nykyään?,music_background,
How many years of tuition have you received for playing (outside primary/lower secondary school)?,Kuinka monta vuotta olet saanut opetusta soittamiseen (peruskoulun ulkopuolella)?,music_background,
How long have you been dancing as a hobby?,Kuinka kauan olet harrastanut tanssimista?,music_background,
How often did you dance when you were most active with the hobby?,Kuinka usein tanssit harrastuksen aktiivisimmassa vaiheessa?,music_background,
How often do you dance nowadays?,Kuinka usein tanssit nykyään?,music_background,
How many years of tuition have you received for dancing (outside primary/lower secondary school)?,Kuinka monta vuotta olet saanut opetusta tanssimiseen (peruskoulun ulkopuolella)?,music_background,
How often do you listen to music nowadays?,Kuinka usein kuuntelet musiikkia nykyään?,music_background,
How musical do you consider yourself?,Kuinka musikaaliseksi koet itsesi?,music_background,
I can tell when people sing or play out of time with the beat,Huomaan kun ihmiset laulavat tai soittavat väärässä tahdissa,gold_msi_perceptual,
I can tell when people sing or play out of tune,Huomaan kun ihmiset laulavat tai soittavat epävireisesti,gold_msi_perceptual,
I find it easy to learn or imitate other people's movements,Minusta on helppo oppia tai matkia toisten liikkeitä.,gold_msi_perceptual,
I have trouble recognizing a familiar song when played in a different way or by a different performer,Minun on hankala tunnistaa tuttu kappale kun se soitetaan eri tavalla tai eri esittäjä soittaa sen,gold_msi_perceptual,1
"When I sing, I have no idea whether I'm in tune or not",Laulaessani en tiedä lainkaan laulanko vireessä vai epävireessä,gold_msi_perceptual,1
What is your primary spoken language?,Mikä on äidinkielesi?,personal_background,
Education,education,personal_background,
yearOfBirth,yearOfBirth,personal_background,
What is your secondary spoken language? (If applicable),Mikä on toissijainen puhuttu kielesi? (jos on),personal_background,
Date of birth,Syntymäpäivä,personal_background,
What is your nationality,Mikä on kansalaisuutesi?,personal_background,
Gender,Sukupuoli,personal_background,
"Education, other:","Koulutus, muu:",personal_background,
Primary school/grade school,Kansakoulu,personal_background,
Comprehensive school/elementary school,Peruskoulu,personal_background,
Secondary education/High school,Lukio,personal_background,
Secondary education/Vocational training,Ammattikoulu tai vastaava,personal_background,
Bachelor’s degree (University or University of applied sciences),Kandidaatin tutkinto (yliopisto tai ammattikorkeakoulu),personal_background,
Master’s degree (University or University of applied sciences),Maisterintutkinto (yliopisto tai ammattikorkeakoulu),personal_background,
Licentiate or doctoral degree,Lisensiaatin tai tohtorintutkinto,personal_background,
"How much do you like the following musical genres? For each genre, select the option that best describes your preference.","Kuinka paljon pidät seuraavista musiikkityyleistä? Valitse jokaisen musiikkityylin kohdalla vaihtoehto, joka parhaiten kuvaa mieltymystäsi.",stomp,
Blues,Blues,stomp,
Jazz,Jazz,stomp,
Classical,Klassinen,stomp,
Folk,Etno / kansanmusiikki,stomp,
Rock,Rock,stomp,
Alternative,Vaihtoehto / indie,stomp,
Heavy metal,Metalli,stomp,
Country,Kantri,stomp,
Religious,Hengellinen,stomp,
Pop,Pop / iskelmä,stomp,
Rap / hip hop,Rap / hip hop,stomp,
Soul / funk,Soul / funk,stomp,
Electronic / dance,Elektroninen / dance,stomp,
When I share music with someone I feel a special connection with that person.,"Kun jaan musiikkikokemuksen toisen kanssa, tunnen erityistä yhteyttä häneen",bmrq,
In my free time I hardly listen to music,En juurikaan kuuntele musiikkia vapaa-aikanani,bmrq,
I like to listen to music that contains emotion,"Pidän sellaisen musiikin kuuntelusta, jossa on tunnetta",bmrq,
Music keeps me company when I’m alone,Musiikki pitää minulle seuraa yksin ollessani,bmrq,
"I don’t like to dance, not even with music I like","En pidä tanssimisesta edes mielimusiikkini tahtiin",bmrq,
Music makes me bond with other people,Musiikki saa minut kokemaan yhteenkuuluvuutta muiden kanssa,bmrq,
I inform myself about music I like,Pidän itseni ajan tasalla makuani vastaavasta musiikista,bmrq,
I get emotional listening to certain pieces of music,"Liikutun, kun kuuntelen tiettyjä musiikkikappaleita",bmrq,
Music calms and relaxes me,Musiikki rauhoittaa ja rentouttaa minua,bmrq,
Music often makes me dance,Musiikki saa minut usein tanssimaan,bmrq,
I’m always looking for new music,Etsin aina uutta musiikkia,bmrq,
I can become tearful or cry when I listen to a melody that I like very much,"Saatan kyynelehtiä tai itkeä kuunnellessani melodiaa, josta pidän todella paljon",bmrq,
I like to sing or play an instrument with other people,Pidän toisten kanssa laulamisesta tai soittamisesta.,bmrq,
Music helps me chill out,Musiikki auttaa minua rentoutumaan,bmrq,
I can’t help humming or singing along to music that I like,"En voi olla hyräilemättä tai laulamatta mukana kun kuulen musiikkia, josta pidän",bmrq,
At a concert I feel connected to the performers and the audience,"Konserteissa koen yhteyden esiintyjien ja yleisön kanssa",bmrq,
I spend quite a bit of money on music and related items,Käytän melko paljon rahaa musiikkiin ja siihen liittyviin asioihin,bmrq,
I sometimes feel chills when I hear a melody that I like,"Toisinaan menen kananlihalle kuunnellessani melodiaa, josta pidän",bmrq,
Music comforts me,Musiikki lohduttaa minua,bmrq,
When I hear a tune I like a lot I can’t help tapping or moving to its beat,"Kuullessani musiikkikappaleen, josta pidän todella paljon, en malta olla taputtamatta tai liikkumatta sen tahtiin",bmrq,
"If somebody starts singing a song I don't know, I can usually join in","Jos joku alkaa laulamaan minulle tuntematonta kappaletta, voin yleensä liittyä mukaan lauluun.",gold_msi_singing,
I am able to hit the right notes when I sing along with a recording,Pystyn osumaan oikeisiin nuotteihin laulaessani äänitteen mukana,gold_msi_singing,
"I don’t like singing in public because I’m afraid that I would sing wrong notes.","En pidä julkisesti laulamisesta, koska pelkään laulavani nuotin vierestä",gold_msi_singing,
I can sing music from memory,Osaan laulaa kappaleita ulkomuistista,gold_msi_singing,
"After hearing a new song two or three times, I can usually sing it by myself","Kuultuani uuden kappaleen kahdesti tai kolmesti, pystyn yleensä laulamaan sen itsekseni.",gold_msi_singing,1
I find it easy to control my movements,Minusta on helppo hallita omia liikkeitäni.,gold_msi_dancing,
"If someone asks me to dance, I usually say yes","Sanon yleensä kyllä, jos joku pyytää minua tanssimaan",gold_msi_singing,
"When I dance, I feel better","Kun tanssin, minulle tulee parempi olo",gold_msi_singing,
"When I hear a great track, it just makes me want to dance","Mahtavan biisin kuuleminen saa minut haluamaan tanssia",gold_msi_singing,
"When I’m tired out, I rest by listening to music","Kun olen uupunut, lepään kuuntelemalla musiikkia",b_mmr,
Music helps me to recognize different feelings in myself,Musiikki auttaa minua ymmärtämään erilaisia tunteita itsessäni,b_mmr,
I listen to music to find solace when worries overwhelm me,Kuuntelen musiikkia saadakseni lohtua murheisiini,b_mmr,
I usually put background music on to make the atmosphere more pleasant,Soitan yleensä taustamusiikkia tehdäkseni tunnelmasta miellyttävämmän.,b_mmr,
I listen to music to perk up after a rough day,Kuuntelen musiikkia piristyäkseni rankan päivän jälkeen,b_mmr,
"When I’m really angry, I feel like listening to some aggressive music","Kun olen todella vihainen, minun tekee mieli kuunnella aggressiivista musiikkia",b_mmr,
I feel fantastic putting my soul fully into the music,Minusta tuntuu mahtavalta eläytyä musiikkiin täysillä,b_mmr,
"For me, music is a way to forget about my worries",Musiikki auttaa minua unohtamaan huoleni.,b_mmr,
Music has offered me magnificent experiences,Musiikki on tarjonnut minulle upeita kokemuksia,b_mmr,
"When I’m busy around the house and no one else is around, I like to have some music on the background","Kun olen yksin tehdessäni kotitöitä, pidän taustamusiikin soitosta",b_mmr,
Music has helped me to get through hard experiences,Musiikki on auttanut minua selviytymään kovista kokemuksista,b_mmr,
"When I’m feeling sad, listening to music comforts me",Musiikin kuunteleminen lohduttaa minua kun olen surullinen.,b_mmr,
"When everything feels bad, it helps me to listen to music that expresses my bad feelings","Kun kaikki tuntuu kurjalta, minua helpottaa kuunnella musiikkia joka ilmaisee pahaa oloani",b_mmr,
"When stressful thoughts keep going round and round in my head, I start to listen to music to get them off my mind","Kun ahdistavia ajatuksia pyörii päässäni, alan kuuntelemaan musiikkia päästäkseni niistä eroon.",b_mmr,
Where are you from?,Missä olet kotoisin,personal_background,
